h3_index,total_records,unique_customers,total_count,total_sum,avg_transaction,min_transaction,max_transaction,avg_std,total_distinct_transactions,unique_mcc,unique_time_buckets,sum_per_customer,transactions_per_customer,records_per_customer,atm_active_customers,atm_activity_records,atm_activity,vtb_atm_count,vtb_office_count,metro_count,competitor_atm_count,mall_count,university_count
8911aa45cb3ffff,253,153,934,388161.99,465.36612691984186,1.95,4520.0,281.87420610485617,420,4,3,2537.006470588235,6.104575163398692,1.65359477124183,0,0,0,0,0,0,0,0,0
8911aa45cb7ffff,79,43,359,1236233.08,1896.3562545281013,5.99,137000.0,2490.347576262843,122,4,4,28749.60651162791,8.348837209302326,1.8372093023255813,0,0,0,0,0,0,0,0,0
8911aa45cbbffff,200,170,275,449321.82,1693.9424546079,25.0,9778.76,660.2942736275487,216,3,4,2643.069529411765,1.6176470588235294,1.1764705882352942,0,0,0,0,0,0,0,0,0
8911aa45d03ffff,79,59,120,151932.18,1191.1262405063292,1.0,4205.71,337.22049911860466,89,1,4,2575.121694915254,2.0338983050847457,1.3389830508474576,0,0,0,0,0,0,0,0,0
8911aa45d07ffff,226,114,665,494533.64,1033.611726984469,3.0,17000.0,347.2945158978822,284,6,3,4338.014385964912,5.833333333333333,1.9824561403508771,0,0,0,0,0,0,0,0,0
8911aa45d0bffff,10,9,11,80477.0,7868.4,463.0,39190.0,1880.9040379562164,10,2,3,8941.888888888889,1.2222222222222223,1.1111111111111112,0,0,0,0,0,0,0,0,0
8911aa45d17ffff,1218,400,3284,2368370.12,1013.8677285878899,2.5,26070.0,440.59172278746564,1664,15,4,5920.9253,8.21,3.045,43,43,1,0,0,0,0,1,0
8911aa45d1bffff,19,18,20,387687.13,20307.217368421054,100.0,132576.0,1060.6601717798212,19,3,4,21538.17388888889,1.1111111111111112,1.0555555555555556,0,0,0,0,1,0,0,0,0
8911aa45d23ffff,130,103,185,351047.06,2287.7399599358464,34.0,45000.0,777.7650856456362,147,5,4,3408.2238834951454,1.796116504854369,1.2621359223300972,10,10,1,0,1,0,0,0,0
8911aa45d27ffff,165,75,344,215192.66,718.7837728846666,27.0,7500.0,285.10870102394233,177,4,3,2869.2354666666665,4.586666666666667,2.2,0,0,0,0,0,0,0,0,0
8911aa45d2bffff,267,187,476,760207.74,2340.2730291816106,12.65,28443.0,383.22537475932614,275,10,3,4065.2820320855612,2.5454545454545454,1.427807486631016,39,39,1,0,0,0,0,0,0
8911aa45d2fffff,228,119,698,386876.74,718.0980601746053,7.9,13193.0,439.52302828871433,311,5,3,3251.0650420168067,5.8655462184873945,1.915966386554622,0,0,0,0,0,0,0,0,0
8911aa45d33ffff,217,117,636,602375.35,1218.0113416236406,5.99,38440.0,1031.924235584058,341,7,3,5148.507264957265,5.435897435897436,1.8547008547008548,0,0,0,0,0,0,0,0,0
8911aa45d37ffff,6,6,6,103418.0,17236.333333333332,618.0,69500.0,,6,1,2,17236.333333333332,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45d3bffff,27,15,50,25740.1,755.8030864196297,69.0,8630.1,174.7111566790468,27,4,3,1716.0066666666667,3.3333333333333335,1.8,0,0,0,0,0,0,0,0,0
8911aa45d43ffff,11,11,39,35247.5,1545.18031968,152.5,6300.0,436.07023534971444,12,1,2,3204.318181818182,3.5454545454545454,1.0,0,0,0,0,0,0,0,0,0
8911aa45d4bffff,18,15,23,95682.65,4463.4944444444445,102.0,21515.0,4348.577504436098,18,2,3,6378.843333333333,1.5333333333333334,1.2,0,0,0,0,0,0,0,0,0
8911aa45d53ffff,4,4,4,7040.0,1760.0,400.0,4420.0,,4,1,1,1760.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45d57ffff,29,28,37,81100.0,2399.712643678276,320.0,34000.0,232.09261574939555,29,3,3,2896.4285714285716,1.3214285714285714,1.0357142857142858,0,0,0,0,0,0,0,0,0
8911aa45d5bffff,134,92,271,295189.02,1344.540643935,1.0,15000.0,464.1677263856964,177,1,4,3208.5763043478264,2.9456521739130435,1.4565217391304348,0,0,0,0,0,0,0,0,0
8911aa45d63ffff,2299,1492,8330,1394949.74,186.50663486893433,1.0,37000.0,84.46011726286068,2692,5,4,934.952908847185,5.583109919571045,1.5408847184986596,57,57,1,0,0,0,0,0,0
8911aa45d67ffff,24,16,30,58449.29,1835.7143750000002,40.0,15000.0,1281.6627165744014,24,5,3,3653.080625,1.875,1.5,0,0,0,0,0,0,0,0,0
8911aa45d6bffff,11,9,36,9141.0,258.53330003272725,20.0,690.0,110.60685616127708,13,1,2,1015.6666666666666,4.0,1.2222222222222223,0,0,0,0,0,0,0,0,0
8911aa45d6fffff,1893,1240,6790,983820.74,147.8089623319704,1.0,5748.0,36.76113143430266,2254,5,4,793.4038225806452,5.475806451612903,1.5266129032258065,0,0,0,0,0,0,0,0,0
8911aa45d73ffff,20,15,96,55260.0,1244.7246428570002,45.0,7963.0,400.27647533225166,20,2,2,3684.0,6.4,1.3333333333333333,0,0,0,0,0,0,0,0,0
8911aa45d77ffff,157,95,608,613789.18,1012.4027241524841,18.0,11256.0,640.3240278410508,266,4,4,6460.938736842106,6.4,1.6526315789473685,0,0,0,0,0,0,0,0,0
8911aa45d83ffff,39,34,48,43710.06,959.3328205128204,39.0,3391.0,225.104097787525,39,6,3,1285.59,1.411764705882353,1.1470588235294117,0,0,0,1,0,0,0,0,0
8911aa45d8bffff,939,402,2064,1926978.82,1198.6991446659852,4.0,57644.0,537.4899371641317,1333,11,4,4793.479651741293,5.134328358208955,2.3358208955223883,9,9,1,0,0,0,1,0,0
8911aa45d8fffff,330,214,816,752994.55,1137.8410949576667,9.0,21600.0,499.84856469421857,385,10,4,3518.6661214953274,3.8130841121495327,1.5420560747663552,0,0,0,1,0,0,0,0,0
8911aa45d93ffff,24,20,69,19591.5,312.14393939375003,40.0,1190.0,195.53803882415562,24,3,3,979.575,3.45,1.2,0,0,0,0,0,0,0,0,0
8911aa45d97ffff,18,14,47,12241.0,281.67984330444443,10.0,1633.0,231.72295621769746,18,1,2,874.3571428571429,3.357142857142857,1.2857142857142858,0,0,0,0,0,0,0,0,0
8911aa45d9bffff,347,224,611,713602.32,1235.8715840908933,6.0,26065.43,639.6563658298393,425,7,4,3185.7246428571425,2.7276785714285716,1.5491071428571428,0,0,0,0,0,0,0,0,0
8911aa45da3ffff,182,113,808,289775.96,403.0124651879121,3.99,7716.98,234.68712318545641,320,1,3,2564.389026548673,7.150442477876106,1.6106194690265487,0,0,0,0,0,0,0,0,0
8911aa45da7ffff,563,235,1590,960326.8,662.7181134552043,3.0,9809.87,320.09394335030504,778,8,4,4086.497021276596,6.76595744680851,2.3957446808510636,85,85,1,1,0,0,0,0,0
8911aa45dabffff,761,332,2084,1242259.3,639.1232267255323,7.99,22245.0,315.0984161993686,1098,10,3,3741.7448795180726,6.27710843373494,2.2921686746987953,26,26,1,0,0,0,0,0,0
8911aa45dafffff,143,66,515,205935.99,429.254745788042,2.0,5615.0,290.03508503702443,198,4,3,3120.2422727272724,7.803030303030303,2.1666666666666665,0,0,0,0,0,0,0,0,0
8911aa45db3ffff,584,240,2116,1050578.82,504.25422887279115,3.0,6063.98,320.7656472793847,925,6,3,4377.41175,8.816666666666666,2.433333333333333,0,0,0,0,0,0,0,0,0
8911aa45db7ffff,93,77,111,159399.87,1566.8452508960213,3.0,12390.0,437.80904895221136,94,3,3,2070.128181818182,1.4415584415584415,1.2077922077922079,0,0,0,0,0,0,0,0,0
8911aa45dbbffff,718,344,1955,2063929.72,1189.8200089506267,4.0,28412.0,719.2600177957729,1134,8,4,5999.795697674418,5.683139534883721,2.0872093023255816,0,0,0,0,0,0,0,0,0
8911aa45dc7ffff,3,3,5,35900.0,10611.11111111,500.0,19900.0,1327.9056191361394,3,2,2,11966.666666666666,1.6666666666666667,1.0,0,0,0,0,0,0,0,0,0
8911aa45dcbffff,123,79,616,264879.98,434.45809423398373,23.99,2469.35,267.69429568335823,199,1,3,3352.911139240506,7.7974683544303796,1.5569620253164558,0,0,0,0,0,0,0,0,0
8911aa45dd3ffff,25,18,48,9291.0,246.984,35.0,731.0,100.87731703101129,27,1,4,516.1666666666666,2.6666666666666665,1.3888888888888888,0,0,0,0,0,0,0,0,0
8911aa45ddbffff,77,53,376,42109.57,198.6749797833766,10.0,4045.11,40.81849848263557,81,2,4,794.5201886792453,7.09433962264151,1.4528301886792452,0,0,0,0,0,0,0,0,0
8911aa45e0bffff,434,207,1616,757470.79,555.9350065986636,5.99,6400.0,297.146857627102,670,5,4,3659.2791787439614,7.806763285024155,2.0966183574879227,0,0,0,0,0,0,0,0,0
8911aa45e0fffff,34,29,67,124765.0,2014.0767973855884,100.0,5000.0,678.7036735026189,35,1,3,4302.241379310345,2.310344827586207,1.1724137931034482,0,0,0,0,0,0,0,0,0
8911aa45e1bffff,107,68,377,233005.54,605.9555851411214,8.0,3976.25,281.3683957651741,178,1,3,3426.5520588235295,5.544117647058823,1.5735294117647058,0,0,0,0,0,0,0,0,0
8911aa45e23ffff,2,1,7,11335.3,1519.9125,242.38,8077.04,1953.7576795733055,2,1,1,11335.3,7.0,2.0,0,0,0,0,0,0,0,0,0
8911aa45e27ffff,64,56,120,140292.12,1406.05584625625,60.0,15000.0,297.3583374639084,73,3,4,2505.2164285714284,2.142857142857143,1.1428571428571428,0,0,0,1,0,0,0,0,0
8911aa45e2fffff,19,12,257,38131.0,168.2269623005263,20.0,450.0,54.049956656917885,20,1,2,3177.5833333333335,21.416666666666668,1.5833333333333333,0,0,0,0,0,0,0,0,0
8911aa45e37ffff,4,4,6,850.0,149.1666666675,70.0,260.0,11.547005383792515,4,1,2,212.5,1.5,1.0,0,0,0,0,0,0,0,0,0
8911aa45e3bffff,5,4,7,135466.80000000002,19833.450666665998,3715.12,45859.48,16311.736116962942,5,1,2,33866.700000000004,1.75,1.25,0,0,0,0,0,0,0,0,0
8911aa45e4bffff,44,39,82,21600.0,286.09553325454544,100.0,1000.0,87.3007905129857,44,1,3,553.8461538461538,2.1025641025641026,1.1282051282051282,0,0,0,0,0,0,0,0,0
8911aa45e4fffff,51,43,65,17483.0,263.9117647058824,5.0,2214.0,218.6192107936925,51,2,4,406.5813953488372,1.5116279069767442,1.186046511627907,0,0,0,0,0,0,0,0,0
8911aa45e53ffff,1,1,1,150.0,150.0,150.0,150.0,,1,1,1,150.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45e57ffff,399,261,1213,927890.24,756.2648079101002,0.9,11422.3,440.5375420147355,654,3,3,3555.135019157088,4.647509578544061,1.528735632183908,0,0,0,0,0,0,0,0,0
8911aa45e6bffff,36,32,47,53712.84,983.0857777777778,65.0,3794.0,518.7081138368883,39,1,4,1678.52625,1.46875,1.125,0,0,0,0,0,0,0,0,0
8911aa45e6fffff,1062,628,5062,690913.0,281.55861678880416,5.0,34020.0,37.183095602421865,1499,3,4,1100.1799363057326,8.060509554140127,1.6910828025477707,0,0,0,0,0,0,0,0,0
8911aa45e73ffff,1,1,1,1700.0,1700.0,1700.0,1700.0,,1,1,1,1700.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45e7bffff,111,99,154,206970.52,1385.1602407408109,22.0,5093.71,506.6232644315253,118,1,4,2090.611313131313,1.5555555555555556,1.121212121212121,0,0,0,0,0,0,0,0,0
8911aa45ea7ffff,1,1,1,69225.0,69225.0,69225.0,69225.0,,1,1,1,69225.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45ecbffff,2,2,2,6850.42,3425.21,919.51,5930.91,,2,1,1,3425.21,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa45ecfffff,76,60,136,538313.0,4337.323863636316,10.0,200000.0,4965.788323412504,77,3,3,8971.883333333333,2.2666666666666666,1.2666666666666666,0,0,0,0,0,0,0,0,0
8911aa46823ffff,20,16,28,31937.93,908.512583333,27.0,7327.06,1017.8980283319673,20,1,3,1996.120625,1.75,1.25,0,0,0,0,0,0,0,0,0
8911aa46827ffff,281,83,1394,535323.88,405.35723252562275,2.0,3747.65,243.76817625685496,462,6,4,6449.68530120482,16.795180722891565,3.3855421686746987,0,0,0,0,0,0,2,0,0
8911aa4682fffff,82,39,173,79054.73,532.0769027293902,18.9,7500.0,284.9796831787758,83,2,3,2027.0443589743588,4.435897435897436,2.1025641025641026,0,0,0,0,0,0,0,0,0
8911aa46837ffff,223,116,840,662296.1900000001,1645.9910936856502,8.49,54452.0,661.3464184991224,301,6,4,5709.449913793104,7.241379310344827,1.9224137931034482,0,0,0,0,0,0,0,0,1
8911aa46843ffff,2,2,2,240.0,120.0,120.0,120.0,,2,1,2,120.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa4690bffff,10,8,12,68329.0,5409.7,2412.0,11970.0,1020.4293214132961,10,2,3,8541.125,1.5,1.25,0,0,0,0,0,0,0,0,0
8911aa46923ffff,106,44,246,121677.11,621.3945702170755,30.0,6439.0,211.90550208572088,124,4,4,2765.3888636363636,5.590909090909091,2.409090909090909,0,0,0,0,0,0,0,0,0
8911aa4692bffff,371,297,801,880389.23,1431.325960875283,4.99,5300.27,561.2627934592357,445,2,4,2964.2735016835018,2.696969696969697,1.2491582491582491,0,0,0,0,0,0,0,0,0
8911aa4694fffff,118,111,152,183357.35,1252.821271186356,65.0,3669.73,476.54619185059954,127,1,4,1651.8680180180181,1.3693693693693694,1.063063063063063,0,0,0,0,0,0,0,0,0
8911aa46953ffff,47,25,139,36322.0,229.13579871659576,25.0,2359.0,170.5974725575693,47,3,3,1452.88,5.56,1.88,0,0,0,0,0,0,0,0,0
8911aa46967ffff,36,23,130,26489.0,237.96802368944444,21.0,2000.0,84.9903058937845,36,2,4,1151.695652173913,5.6521739130434785,1.565217391304348,18,18,1,0,1,0,0,0,0
8911aa4696bffff,40,39,60,276444.46,6163.328166666501,532.0,36792.0,654.8015178775365,40,4,3,7088.319487179488,1.5384615384615385,1.0256410256410255,0,0,0,0,0,0,1,1,0
8911aa4696fffff,35,29,113,41900.0,807.8571428571429,50.0,6300.0,79.91752026175152,36,1,3,1444.8275862068965,3.896551724137931,1.206896551724138,0,0,0,0,0,0,0,0,0
8911aa46997ffff,7,7,9,5293.75,645.5357142857143,187.5,1850.0,169.7056274847714,7,1,1,756.25,1.2857142857142858,1.0,0,0,0,0,0,0,0,0,0
8911aa469c3ffff,68,38,284,121509.65,399.6346175454412,7.99,2694.62,310.77018693761613,97,1,3,3197.6223684210527,7.473684210526316,1.7894736842105263,0,0,0,0,0,0,0,0,0
8911aa469cbffff,296,131,1060,542134.94,560.2908398882095,8.49,4880.0,321.39224868627514,503,6,3,4138.434656488549,8.091603053435115,2.2595419847328246,0,0,0,0,0,0,0,0,0
8911aa46a27ffff,99,76,170,753420.82,6994.236435185252,39.99,555190.0,641.0082690732439,112,4,4,9913.431842105263,2.236842105263158,1.3026315789473684,0,0,0,0,0,0,0,0,0
8911aa46b37ffff,3,2,7,7920.0,1152.0,300.0,3000.0,1072.977166579047,3,1,3,3960.0,3.5,1.5,0,0,0,0,0,0,0,0,0
8911aa46b43ffff,2175,822,4840,11495873.1,3009.5909334437792,1.0,145009.0,1729.2348351023506,3705,15,3,13985.24708029197,5.888077858880779,2.645985401459854,0,0,0,0,0,0,0,1,0
8911aa46b57ffff,53,30,223,106973.82,391.2852285049056,3.99,2466.95,278.5874742501766,74,3,3,3565.7940000000003,7.433333333333334,1.7666666666666666,0,0,0,0,0,0,0,0,0
8911aa46b6fffff,115,56,851,399567.0,634.2107463796522,5.0,11700.0,422.1162123147176,231,2,3,7135.125,15.196428571428571,2.0535714285714284,0,0,0,0,0,0,0,0,0
8911aa46bcbffff,14,12,25,69713.65,4737.813571428572,199.98,54000.0,43.443631076881694,14,3,4,5809.470833333333,2.0833333333333335,1.1666666666666667,0,0,0,0,0,0,0,0,0
8911aa46bcfffff,59,43,130,848825.5700000001,10135.281239048982,7.76,92553.0,2381.695051827932,69,3,3,19740.129534883723,3.0232558139534884,1.372093023255814,0,0,0,0,0,0,0,0,0
8911aa46d23ffff,2,1,3,600.0,200.0,200.0,200.0,0.0,2,1,2,600.0,3.0,2.0,0,0,0,0,0,0,0,0,0
8911aa46d2fffff,116,51,593,232189.98,362.25371212482764,3.99,5120.0,188.13293625055937,159,3,3,4552.744705882353,11.627450980392156,2.2745098039215685,0,0,0,0,0,0,0,0,0
8911aa46d83ffff,3,3,4,1263.0,252.0,114.0,530.0,32.526911934581186,3,1,1,421.0,1.3333333333333333,1.0,0,0,0,0,0,0,0,0,0
8911aa48013ffff,175,141,266,200253.0,851.8756825396572,39.0,51000.0,326.82672094795436,203,3,3,1420.2340425531916,1.8865248226950355,1.2411347517730495,0,0,0,0,0,0,0,0,0
8911aa48017ffff,1047,496,2276,1810850.56,1006.5687436647755,3.13,20000.0,495.0021285873241,1264,12,4,3650.9083870967743,4.588709677419355,2.1108870967741935,0,0,0,0,0,0,0,0,0
8911aa4808bffff,845,585,1840,7197632.04,3516.091419773598,1.0,172875.4,3570.754802300258,1536,1,3,12303.644512820512,3.1452991452991452,1.4444444444444444,0,0,0,0,0,0,0,0,0
8911aa4808fffff,193,145,320,530321.5,1665.94848923886,49.0,37200.0,728.9199733211015,221,3,4,3657.3896551724138,2.206896551724138,1.3310344827586207,13,13,1,0,0,0,0,0,0
8911aa480a3ffff,68,65,75,230541.0,3221.235294117647,198.0,46600.0,689.7321574202496,70,3,2,3546.7846153846153,1.1538461538461537,1.0461538461538462,0,0,0,0,0,0,0,0,0
8911aa480abffff,1,1,1,264.0,264.0,264.0,264.0,,1,1,1,264.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa480bbffff,131,99,222,359757.15,1937.1778837998472,15.0,23032.8,1126.6926349314333,134,6,3,3633.9106060606064,2.242424242424242,1.3232323232323233,4,4,1,0,0,0,0,0,0
8911aa480c7ffff,31,26,37,26900.0,731.7204301074194,50.0,2100.0,191.57022568686494,31,1,3,1034.6153846153845,1.4230769230769231,1.1923076923076923,0,0,0,0,0,0,0,0,0
8911aa480cbffff,125,87,218,311583.16000000003,1473.53832977776,196.6,3821.25,382.903962379613,147,2,4,3581.415632183908,2.5057471264367814,1.4367816091954022,0,0,0,0,0,0,0,0,0
8911aa48183ffff,433,145,1780,920481.24,603.2720931816629,3.99,21119.97,350.2145761172434,816,4,3,6348.146482758621,12.275862068965518,2.986206896551724,0,0,0,0,0,0,0,0,0
8911aa48187ffff,4,4,5,14445.0,2956.25,560.0,4960.0,169.7056274847714,4,1,2,3611.25,1.25,1.0,0,0,0,0,0,0,0,0,0
8911aa4818bffff,145,136,217,265154.08,1453.0896896551724,0.6,11563.0,731.2657174956128,158,7,3,1949.6623529411766,1.5955882352941178,1.0661764705882353,3,3,1,0,0,0,0,0,0
8911aa4818fffff,342,253,664,1236474.08,1717.62025742,30.0,6625.06,542.1870823915262,421,2,4,4887.249328063242,2.624505928853755,1.3517786561264822,0,0,0,0,0,0,0,0,0
8911aa48193ffff,4,4,6,55315.0,13421.25,679.0,20890.0,220.15449121014996,4,2,3,13828.75,1.5,1.0,0,0,0,0,0,0,0,0,0
8911aa48197ffff,4,4,5,1402.0,333.0,70.0,635.0,0.0,4,1,2,350.5,1.25,1.0,0,0,0,0,0,0,1,0,0
8911aa4819bffff,51,34,81,379610.0,5642.088235294118,70.0,34000.0,1688.1436824219838,52,6,3,11165.0,2.3823529411764706,1.5,0,0,0,0,0,0,0,1,0
8911aa481bbffff,321,240,596,829172.5700000001,1570.9653172238006,4.0,56307.0,463.40066922616234,380,8,4,3454.8857083333337,2.4833333333333334,1.3375,0,0,0,0,0,0,0,0,0
8911aa481d7ffff,7,6,27,5650.0,241.78571428571428,50.0,350.0,50.76485954471194,7,1,3,941.6666666666666,4.5,1.1666666666666667,0,0,0,0,0,0,0,0,0
8911aa48297ffff,2,2,2,22840.0,11420.0,1940.0,20900.0,,2,1,2,11420.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa482d3ffff,19,14,44,27029.0,668.2807017547369,50.0,5590.0,677.3866245233819,24,1,3,1930.642857142857,3.142857142857143,1.3571428571428572,0,0,0,0,0,0,0,0,0
8911aa482dbffff,4,4,5,5131.0,860.25,250.0,2190.0,707.1067811865476,4,2,3,1282.75,1.25,1.0,0,0,0,0,0,0,0,0,0
8911aa4842bffff,1,1,1,400.0,400.0,400.0,400.0,,1,1,1,400.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa484d7ffff,3,3,6,14565.0,3309.7222222233336,300.0,6000.0,901.9591865782124,3,1,1,4855.0,2.0,1.0,0,0,0,0,0,0,0,0,0
8911aa484dbffff,6,4,10,4871.0,551.5833333333334,110.0,1344.0,269.7983360669832,6,1,2,1217.75,2.5,1.5,0,0,0,0,0,0,0,0,0
8911aa4850bffff,1,1,1,600.0,600.0,600.0,600.0,,1,1,1,600.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa4850fffff,1,1,2,680.0,340.0,170.0,510.0,240.41630560342617,1,1,1,680.0,2.0,1.0,0,0,0,0,0,0,0,0,0
8911aa48523ffff,107,71,171,254908.67,1515.0593769470092,30.0,33097.0,1433.4268015946245,111,7,3,3590.262957746479,2.408450704225352,1.5070422535211268,215,215,1,0,0,0,0,0,0
8911aa4852fffff,9,8,9,56992.0,6332.444444444444,1008.0,42400.0,,9,1,2,7124.0,1.125,1.125,15,15,1,0,3,0,1,0,0
8911aa4853bffff,6,6,8,17050.0,2519.444444445,240.0,6190.0,208.16659994661327,6,1,3,2841.6666666666665,1.3333333333333333,1.0,0,0,0,0,0,0,0,0,0
8911aa48543ffff,42,28,208,85323.84,445.1956648835714,24.99,1864.19,207.24742731169496,59,2,3,3047.2799999999997,7.428571428571429,1.5,0,0,0,0,0,0,0,0,0
8911aa48547ffff,74,52,164,167442.53,1244.0096287000001,24.99,6000.0,508.58099246113335,90,4,3,3220.0486538461537,3.1538461538461537,1.4230769230769231,0,0,0,0,0,0,0,0,0
8911aa4854fffff,77,49,289,79196.0,350.55955620857145,20.0,1532.0,135.39846563763453,82,2,4,1616.2448979591836,5.8979591836734695,1.5714285714285714,0,0,0,0,0,0,0,0,0
8911aa4855bffff,123,64,526,158523.45,308.9315893767479,15.0,1784.97,116.71500640952208,125,3,4,2476.92890625,8.21875,1.921875,0,0,0,0,0,0,0,0,0
8911aa48563ffff,184,100,322,241596.59,757.5049484754891,5.0,12000.0,342.20773226442844,195,9,3,2415.9659,3.22,1.84,51,51,1,0,0,0,0,1,0
8911aa48567ffff,56,33,313,96410.0,282.74481023982145,8.0,2571.0,179.7779445365974,56,2,3,2921.5151515151515,9.484848484848484,1.696969696969697,10,10,1,0,0,0,0,0,0
8911aa4856bffff,2,2,2,2500.0,1250.0,1000.0,1500.0,,2,1,1,1250.0,1.0,1.0,0,0,0,0,1,0,0,0,0
8911aa4856fffff,16,13,19,90289.0,4549.96875,150.0,15732.0,1116.9930120143497,16,2,2,6945.307692307692,1.4615384615384615,1.2307692307692308,0,0,0,0,0,0,0,0,0
8911aa48573ffff,255,150,831,661665.23,959.1002543963137,1.0,6873.57,483.8622839576389,472,4,4,4411.1015333333335,5.54,1.7,0,0,0,0,0,0,1,0,0
8911aa48577ffff,157,75,361,296605.87,782.5729176443311,5.0,27538.0,740.5083779855413,202,4,3,3954.7449333333334,4.8133333333333335,2.0933333333333333,0,0,0,0,0,0,0,0,0
8911aa4857bffff,18,11,157,12030.0,91.91975308666666,25.0,470.0,10.82093898629814,18,2,4,1093.6363636363637,14.272727272727273,1.6363636363636365,0,0,0,0,0,0,0,0,0
8911aa4860bffff,32,27,40,45611.0,1159.234375,190.0,3148.0,562.4150560862503,32,1,3,1689.2962962962963,1.4814814814814814,1.1851851851851851,0,0,0,0,0,0,0,0,0
8911aa4860fffff,1,1,1,2600.0,2600.0,2600.0,2600.0,,1,1,1,2600.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa4861bffff,94,58,120,154665.8,1331.5007535460638,27.0,12170.0,409.1674008877537,96,9,4,2666.6517241379306,2.0689655172413794,1.6206896551724137,0,0,0,0,0,0,0,1,0
8911aa48627ffff,88,77,123,184222.75,1440.2790767045453,65.0,3834.72,475.1601086302897,99,1,4,2392.503246753247,1.5974025974025974,1.1428571428571428,0,0,0,0,0,0,0,0,0
8911aa48633ffff,7,6,7,16268.0,2324.0,710.0,3400.0,,7,2,3,2711.3333333333335,1.1666666666666667,1.1666666666666667,0,0,0,0,0,0,0,0,0
8911aa4864fffff,2,2,10,1120.0,106.66666666500001,60.0,120.0,15.275252316519467,2,1,2,560.0,5.0,1.0,0,0,0,0,0,0,0,0,0
8911aa48653ffff,7,6,9,3948.5,503.75,36.1,1086.0,120.80919356572166,7,1,3,658.0833333333334,1.5,1.1666666666666667,0,0,0,0,0,0,0,0,0
8911aa48657ffff,505,278,1294,1186883.53,1114.445392605426,2.0,56800.0,748.3993475467491,738,7,3,4269.365215827338,4.654676258992806,1.816546762589928,26,26,1,0,0,0,0,0,0
8911aa486bbffff,72,70,87,107660.0,1327.4421296295832,85.0,4700.0,550.6232770995535,72,1,3,1538.0,1.2428571428571429,1.0285714285714285,0,0,0,0,0,0,0,0,0
8911aa486c3ffff,3294,2551,6237,4130947.28,780.1896547253339,1.0,93141.0,519.8552999236965,3938,10,4,1619.3442885143081,2.4449235593884753,1.2912583300666405,0,0,0,0,0,0,0,0,0
8911aa486c7ffff,38,32,55,72058.5,1202.3728070176314,5.0,8957.0,767.823091074699,38,2,3,2251.828125,1.71875,1.1875,0,0,0,0,0,0,0,0,0
8911aa486cbffff,34,22,114,27970.4,322.94614497382355,40.0,3600.0,213.52313059668393,34,2,3,1271.3818181818183,5.181818181818182,1.5454545454545454,0,0,0,0,0,0,0,0,0
8911aa489bbffff,32,24,67,84035.0,1288.4763888890625,12.0,10739.0,1071.3519989938013,47,1,3,3501.4583333333335,2.7916666666666665,1.3333333333333333,0,0,0,0,0,0,0,0,0
8911aa48a57ffff,11,11,14,20330.0,1654.5454545454545,150.0,6870.0,447.83429475148006,11,1,3,1848.1818181818182,1.2727272727272727,1.0,0,0,0,0,0,0,0,0,0
8911aa48ab7ffff,1,1,1,800.0,800.0,800.0,800.0,,1,1,1,800.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa48b23ffff,10,9,18,7836.0,287.775,50.0,1555.0,444.41876900499454,10,1,3,870.6666666666666,2.0,1.1111111111111112,0,0,0,0,0,0,0,0,0
8911aa48b87ffff,2,2,2,550.0,275.0,100.0,450.0,,2,2,2,275.0,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa48bc3ffff,45,38,86,18648.0,198.84160493822222,20.0,800.0,110.76186217052889,51,1,3,490.7368421052632,2.263157894736842,1.1842105263157894,0,0,0,0,0,0,0,0,0
8911aa48bd3ffff,33,18,235,87517.0,353.8661608069697,25.0,1598.0,183.08218483270014,50,1,3,4862.055555555556,13.055555555555555,1.8333333333333333,0,0,0,0,0,0,0,0,0
8911aa48c27ffff,8,5,11,6420.0,642.83333333375,130.0,2800.0,208.09419097447346,8,2,3,1284.0,2.2,1.6,0,0,0,0,0,0,0,0,0
8911aa48c93ffff,7,7,7,22002.0,3143.1428571428573,1498.0,4600.0,,7,2,3,3143.1428571428573,1.0,1.0,0,0,0,0,0,0,0,0,0
8911aa48c97ffff,508,300,1471,1088990.45,1012.1075188762599,8.49,6914.28,385.15830774915105,840,6,4,3629.9681666666665,4.903333333333333,1.6933333333333334,64,64,1,0,0,0,0,0,0
8911aa48cbbffff,4,2,5,15280.0,3757.5,150.0,8320.0,141.4213562373095,4,1,3,7640.0,2.5,2.0,0,0,0,0,0,0,0,0,0
8911aa48d07ffff,2,2,2,4399.0,2199.5,1692.0,2707.0,,2,1,2,2199.5,1.0,1.0,0,0,0,0,0,0,0,0,0
